1548
raceid|finishid|driverid|trackid
9|8|69|2
9|9|14|2
9|10|55|2
9|11|35|2
9|12|65|2
9|13|22|2
9|14|70|2
9|15|44|2
9|16|34|2
9|17|51|2
9|18|86|2
9|19|33|2
9|20|54|2
9|21|80|2
9|22|77|2
9|23|6|2
9|24|43|2
9|25|41|2
9|26|37|2
9|27|40|2
9|28|9|2
9|29|85|2
9|30|3|2
9|31|57|2
9|32|62|2
9|33|76|2
9|34|4|2
9|35|47|2
9|36|12|2
9|37|63|2
9|38|36|2
9|39|18|2
9|40|26|2
9|41|74|2
9|42|73|2
9|43|45|2
10|1|85|17
10|2|70|17
10|3|33|17
10|4|53|17
10|5|36|17
10|6|54|17
10|7|34|17
10|8|76|17
10|9|63|17
10|10|40|17
10|11|75|17
10|12|41|17
10|13|35|17
10|14|2|17
10|15|45|17
10|16|26|17
10|17|3|17
10|18|24|17
10|19|6|17
10|20|43|17
10|21|18|17
10|22|9|17
10|23|51|17
10|24|55|17
10|25|69|17
10|26|74|17
10|27|50|17
10|28|57|17
10|29|14|17
10|30|86|17
10|31|39|17
10|32|4|17
10|33|80|17
10|34|77|17
10|35|62|17
10|36|12|17
10|37|65|17
10|38|13|17
10|39|64|17
10|40|47|17
10|41|37|17
10|42|19|17
10|43|61|17
11|1|53|3
11|2|54|3
11|3|63|3
11|4|64|3
11|5|34|3
11|6|85|3
11|7|39|3
11|8|55|3
11|9|2|3
11|10|69|3
11|11|75|3
11|12|80|3
11|13|51|3
11|14|4|3
11|15|43|3
11|16|65|3
11|17|9|3
11|18|45|3
11|19|13|3
11|20|35|3
11|21|14|3
11|22|26|3
11|23|3|3
11|24|57|3
11|25|40|3
11|26|19|3
11|27|6|3
11|28|37|3
11|29|24|3
11|30|41|3
11|31|50|3
11|32|76|3
11|33|18|3
11|34|47|3
11|35|12|3
11|36|68|3
11|37|74|3
11|38|77|3
11|39|36|3
11|40|33|3
11|41|70|3
11|42|86|3
11|43|48|3
12|1|39|7
12|2|2|7
12|3|33|7
12|4|70|7
12|5|13|7
12|6|34|7
12|7|63|7
12|8|65|7
12|9|3|7
12|10|18|7
12|11|85|7
12|12|50|7
12|13|75|7
12|14|9|7
12|15|80|7
12|16|4|7
12|17|69|7
12|18|82|7
12|19|64|7
12|20|51|7
12|21|55|7
12|22|57|7
12|23|40|7
12|24|74|7
12|25|76|7
12|26|26|7
12|27|37|7
12|28|47|7
12|29|14|7
12|30|12|7
12|31|84|7
12|32|43|7
12|33|10|7
12|34|6|7
12|35|36|7
12|36|45|7
12|37|86|7
12|38|35|7
12|39|77|7
12|40|54|7
12|41|53|7
12|42|17|7
12|43|41|7
13|1|13|16
13|2|53|16
13|3|39|16
13|4|75|16
13|5|34|16
13|6|33|16
13|7|85|16
13|8|55|16
13|9|69|16
13|10|14|16
13|11|9|16
13|12|12|16
13|13|51|16
13|14|63|16
13|15|18|16
13|16|45|16
13|17|64|16
13|18|82|16
13|19|65|16
13|20|44|16
13|21|40|16
13|22|26|16
13|23|77|16
13|24|6|16
13|25|76|16
13|26|4|16
13|27|3|16
13|28|74|16
13|29|24|16
13|30|2|16
13|31|43|16
13|32|70|16
13|33|86|16
13|34|35|16
13|35|54|16
13|36|36|16
13|37|57|16
13|38|80|16
13|39|47|16
13|40|50|16
13|41|41|16
13|42|8|16
13|43|19|16
14|1|54|13
14|2|13|13
14|3|70|13
14|4|55|13
14|5|34|13
14|6|44|13
14|7|69|13
14|8|64|13
14|9|53|13
14|10|50|13
14|11|2|13
14|12|51|13
14|13|14|13
14|14|39|13
14|15|63|13
14|16|85|13
14|17|26|13
14|18|35|13
14|19|21|13
14|20|33|13
14|21|75|13
14|22|12|13
14|23|43|13
14|24|4|13
14|25|45|13
14|26|18|13
14|27|47|13
14|28|40|13
14|29|41|13
14|30|57|13
14|31|80|13
14|32|77|13
14|33|65|13
14|34|6|13
14|35|74|13
14|36|36|13
14|37|3|13
14|38|16|13
14|39|9|13
14|40|76|13
14|41|31|13
14|42|86|13
14|43|20|13
15|1|64|19
15|2|85|19
15|3|80|19
15|4|50|19
15|5|35|19
15|6|18|19
15|7|53|19
15|8|2|19
15|9|70|19
15|10|43|19
15|11|65|19
15|12|57|19
15|13|4|19
15|14|47|19
15|15|13|19
15|16|44|19
15|17|51|19
15|18|41|19
15|19|63|19
15|20|14|19
15|21|9|19
15|22|55|19
15|23|77|19
15|24|6|19
15|25|67|19
15|26|82|19
15|27|69|19
15|28|36|19
15|29|33|19
15|30|12|19
15|31|3|19
15|32|38|19
15|33|26|19
15|34|37|19
15|35|39|19
15|36|40|19
15|37|34|19
15|38|45|19
15|39|54|19
15|40|86|19
15|41|5|19
15|42|1|19
15|43|75|19
16|1|55|6
16|2|69|6
16|3|75|6
16|4|40|6
16|5|53|6
16|6|12|6
16|7|82|6
16|8|39|6
16|9|86|6
16|10|21|6
16|11|47|6
16|12|18|6
16|13|36|6
16|14|80|6
16|15|64|6
16|16|3|6
16|17|2|6
16|18|74|6
16|19|51|6
16|20|9|6
16|21|35|6
16|22|34|6
16|23|63|6
16|24|43|6
16|25|45|6
16|26|26|6
16|27|70|6
16|28|14|6
16|29|65|6
16|30|54|6
16|31|50|6
16|32|4|6
16|33|33|6
16|34|77|6
16|35|13|6
16|36|41|6
16|37|57|6
16|38|6|6
16|39|85|6
16|40|73|6
16|41|58|6
16|42|46|6
16|43|44|6
17|1|47|4
17|2|34|4
17|3|85|4
17|4|39|4
17|5|70|4
17|6|50|4
17|7|2|4
17|8|65|4
17|9|53|4
17|10|12|4
17|11|13|4
17|12|35|4
17|13|80|4
17|14|54|4
17|15|3|4
17|16|75|4
17|17|14|4
17|18|4|4
17|19|64|4
17|20|63|4
17|21|18|4
17|22|43|4
17|23|57|4
17|24|51|4
17|25|69|4
17|26|82|4
17|27|77|4
17|28|9|4
17|29|46|4
17|30|6|4
17|31|76|4
17|32|40|4
17|33|41|4
17|34|36|4
17|35|74|4
17|36|26|4
17|37|37|4
17|38|58|4
17|39|33|4
17|40|45|4
17|41|86|4
17|42|55|4
17|43|78|4
18|1|86|14
18|2|35|14
18|3|13|14
18|4|69|14
18|5|70|14
18|6|82|14
18|7|65|14
18|8|50|14
18|9|47|14
18|10|18|14
18|11|40|14
18|12|33|14
18|13|4|14
18|14|75|14
18|15|39|14
18|16|53|14
18|17|64|14
18|18|37|14
18|19|36|14
18|20|55|14
18|21|63|14
18|22|80|14
18|23|12|14
18|24|45|14
18|25|43|14
18|26|3|14
18|27|6|14
18|28|76|14
18|29|34|14
18|30|74|14
18|31|26|14
18|32|77|14
18|33|54|14
18|34|2|14
18|35|14|14
18|36|9|14
18|37|51|14
18|38|57|14
18|39|85|14
18|40|59|14
18|41|41|14
18|42|49|14
18|43|21|14
19|1|2|16
19|2|50|16
19|3|75|16
19|4|13|16
19|5|70|16
19|6|47|16
19|7|85|16
19|8|54|16
19|9|80|16
19|10|64|16
19|11|4|16
19|12|34|16
19|13|53|16
19|14|86|16
19|15|39|16
19|16|33|16
19|17|55|16
19|18|63|16
19|19|3|16
19|20|45|16
19|21|18|16
19|22|14|16
19|23|43|16
19|24|41|16
19|25|65|16
19|26|35|16
19|27|51|16
19|28|9|16
19|29|57|16
19|30|44|16
19|31|26|16
19|32|40|16
19|33|6|16
19|34|21|16
19|35|16|16
19|36|37|16
19|37|12|16
19|38|36|16
19|39|58|16
19|40|69|16
19|41|49|16
19|42|59|16
19|43|77|16
20|1|2|8
20|2|69|8
20|3|54|8
20|4|70|8
20|5|47|8
20|6|34|8
20|7|77|8
20|8|65|8
20|9|39|8
20|10|13|8
20|11|4|8
20|12|85|8
20|13|80|8
20|14|45|8
20|15|14|8
20|16|55|8
20|17|26|8
20|18|64|8
20|19|35|8
20|20|41|8
20|21|79|8
20|22|12|8
20|23|3|8
20|24|37|8
20|25|51|8
20|26|43|8
20|27|75|8
20|28|53|8
20|29|33|8
20|30|86|8
20|31|40|8
20|32|46|8
20|33|63|8
20|34|82|8
20|35|18|8
20|36|57|8
20|37|44|8
20|38|9|8
20|39|36|8
20|40|21|8
20|41|50|8
20|42|6|8
20|43|58|8
21|1|85|22
21|2|70|22
21|3|65|22
21|4|60|22
21|5|64|22
21|6|71|22
21|7|33|22
21|8|82|22
21|9|55|22
21|10|53|22
21|11|43|22
21|12|35|22
21|13|5|22
21|14|47|22
21|15|36|22
21|16|39|22
21|17|69|22
21|18|14|22
21|19|3|22
21|20|86|22
21|21|2|22
21|22|34|22
21|23|4|22
21|24|83|22
21|25|44|22
21|26|37|22
21|27|9|22
21|28|45|22
21|29|51|22
21|30|75|22
21|31|80|22
21|32|6|22
21|33|54|22
21|34|63|22
21|35|12|22
21|36|46|22
21|37|13|22
21|38|41|22
21|39|77|22
21|40|57|22
21|41|50|22
21|42|42|22
21|43|18|22
22|1|13|13
22|2|85|13
22|3|47|13
22|4|33|13
22|5|53|13
22|6|75|13
22|7|39|13
22|8|44|13
22|9|35|13
22|10|12|13
22|11|54|13
22|12|64|13
22|13|4|13
22|14|45|13
22|15|55|13
22|16|36|13
22|17|63|13
22|18|14|13
22|19|34|13
22|20|43|13
22|21|65|13
22|22|2|13
22|23|3|13
22|24|69|13
22|25|51|13
22|26|82|13
22|27|18|13
22|28|57|13
22|29|86|13
22|30|74|13
22|31|70|13
22|32|37|13
22|33|80|13
22|34|40|13
22|35|41|13
22|36|26|13
22|37|16|13
22|38|6|13
22|39|50|13
22|40|58|13
22|41|77|13
22|42|9|13
22|43|84|13
23|1|34|1
23|2|69|1
23|3|12|1
23|4|47|1
23|5|54|1
23|6|50|1
23|7|75|1
23|8|40|1
23|9|4|1
23|10|58|1
23|11|3|1
23|12|44|1
23|13|33|1
23|14|45|1
23|15|51|1
23|16|63|1
23|17|2|1
23|18|9|1
23|19|43|1
23|20|65|1
23|21|37|1
23|22|55|1
23|23|53|1
23|24|85|1
23|25|36|1
23|26|77|1
23|27|41|1
23|28|13|1
23|29|57|1
23|30|80|1
23|31|52|1
23|32|6|1
23|33|14|1
23|34|39|1
23|35|35|1
23|36|70|1
23|37|86|1
23|38|26|1
23|39|64|1
23|40|72|1
23|41|16|1
23|42|18|1
23|43|82|1
24|1|34|5
24|2|70|5
24|3|2|5
24|4|75|5
24|5|13|5
24|6|86|5
24|7|50|5
24|8|85|5
24|9|39|5
24|10|33|5
24|11|53|5
24|12|35|5
24|13|51|5
24|14|63|5
24|15|4|5
24|16|12|5
24|17|65|5
24|18|40|5
24|19|18|5
24|20|36|5
24|21|41|5
24|22|69|5
24|23|3|5
24|24|55|5
24|25|46|5
24|26|45|5
24|27|79|5
24|28|9|5
24|29|14|5
24|30|64|5
24|31|80|5
24|32|58|5
24|33|82|5
24|34|44|5
24|35|84|5
24|36|77|5
24|37|54|5
24|38|57|5
24|39|6|5
24|40|47|5
24|41|37|5
24|42|43|5
24|43|59|5
25|1|54|17
25|2|70|17
25|3|35|17
25|4|12|17
25|5|82|17
25|6|53|17
25|7|64|17
25|8|86|17
25|9|14|17
25|10|36|17
25|11|77|17
25|12|58|17
25|13|39|17
25|14|46|17
25|15|69|17
25|16|2|17
25|17|51|17
25|18|47|17
25|19|50|17
25|20|6|17
25|21|63|17
25|22|57|17
25|23|24|17
25|24|9|17
25|25|41|17
25|26|45|17
25|27|37|17
25|28|65|17
25|29|43|17
25|30|85|17
25|31|13|17
25|32|4|17
25|33|22|17
25|34|18|17
25|35|44|17
25|36|55|17
25|37|81|17
25|38|21|17
25|39|33|17
25|40|34|17
25|41|80|17
25|42|40|17
25|43|75|17
26|1|70|14
26|2|50|14
26|3|85|14
26|4|44|14
26|5|4|14
26|6|63|14
26|7|13|14
26|8|55|14
26|9|39|14
26|10|54|14
26|11|12|14
26|12|64|14
26|13|45|14
26|14|34|14
26|15|40|14
26|16|53|14
26|17|65|14
26|18|46|14
26|19|69|14
26|20|33|14
26|21|75|14
26|22|43|14
26|23|2|14
26|24|36|14
26|25|14|14
26|26|35|14
26|27|22|14
26|28|37|14
26|29|77|14
26|30|80|14
26|31|58|14
26|32|41|14
26|33|47|14
26|34|9|14
26|35|18|14
26|36|6|14
26|37|24|14
26|38|86|14
26|39|51|14
26|40|48|14
26|41|59|14
26|42|82|14
26|43|57|14
27|1|39|7
27|2|53|7
27|3|13|7
27|4|54|7
27|5|85|7
27|6|33|7
27|7|50|7
27|8|70|7
27|9|63|7
27|10|44|7
27|11|14|7
27|12|55|7
27|13|35|7
27|14|64|7
27|15|69|7
27|16|51|7
27|17|65|7
27|18|2|7
27|19|57|7
27|20|36|7
27|21|75|7
27|22|45|7
27|23|41|7
27|24|12|7
27|25|18|7
27|26|77|7
27|27|46|7
27|28|58|7
27|29|43|7
27|30|47|7
27|31|84|7
27|32|9|7
27|33|22|7
27|34|81|7
27|35|40|7
27|36|48|7
27|37|34|7
27|38|80|7
27|39|25|7
27|40|82|7
27|41|4|7
27|42|37|7
27|43|86|7
28|1|34|9
28|2|70|9
28|3|69|9
28|4|41|9
28|5|2|9
28|6|12|9
28|7|54|9
28|8|85|9
28|9|36|9
28|10|39|9
28|11|47|9
28|12|80|9
28|13|65|9
28|14|43|9
28|15|51|9
28|16|46|9
28|17|35|9
28|18|18|9
28|19|58|9
28|20|64|9
28|21|14|9
28|22|4|9
28|23|44|9
28|24|40|9
28|25|53|9
28|26|55|9
28|27|37|9
28|28|45|9
28|29|33|9
28|30|77|9
28|31|50|9
28|32|57|9
28|33|75|9
28|34|82|9
28|35|27|9
28|36|22|9
28|37|78|9
28|38|63|9
28|39|13|9
28|40|59|9
28|41|84|9
28|42|9|9
28|43|86|9
29|1|12|20
29|2|85|20
29|3|64|20
29|4|50|20
29|5|35|20
29|6|77|20
29|7|70|20
29|8|55|20
29|9|13|20
29|10|86|20
29|11|33|20
29|12|65|20
29|13|69|20
29|14|54|20
29|15|63|20
29|16|51|20
29|17|72|20
29|18|43|20
29|19|2|20
29|20|36|20
29|21|40|20
29|22|74|20
29|23|82|20
29|24|37|20
29|25|4|20
29|26|28|20
29|27|47|20
29|28|57|20
29|29|6|20
29|30|53|20
29|31|14|20
29|32|68|20
29|33|46|20
29|34|9|20
29|35|58|20
29|36|18|20
29|37|39|20
29|38|80|20
29|39|41|20
29|40|44|20
29|41|45|20
29|42|34|20
29|43|32|20
30|1|28|3
30|2|4|3
30|3|85|3
30|4|34|3
30|5|69|3
30|6|39|3
30|7|33|3
30|8|70|3
30|9|12|3
30|10|14|3
30|11|55|3
30|12|50|3
30|13|37|3
30|14|13|3
30|15|77|3
30|16|53|3
30|17|58|3
30|18|44|3
30|19|18|3
30|20|51|3
30|21|80|3
30|22|47|3
30|23|43|3
30|24|57|3
30|25|46|3
30|26|6|3
30|27|3|3
30|28|36|3
30|29|35|3
30|30|9|3
30|31|45|3
30|32|40|3
30|33|86|3
30|34|54|3
30|35|2|3
30|36|63|3
30|37|82|3
30|38|65|3
30|39|64|3
30|40|41|3
30|41|24|3
30|42|74|3
30|43|29|3
31|1|50|11
31|2|44|11
31|3|64|11
31|4|12|11
31|5|86|11
31|6|39|11
31|7|63|11
31|8|13|11
31|9|69|11
31|10|53|11
31|11|85|11
31|12|4|11
31|13|43|11
31|14|56|11
31|15|70|11
31|16|77|11
31|17|33|11
31|18|55|11
31|19|54|11
31|20|14|11
31|21|9|11
31|22|80|11
31|23|65|11
31|24|40|11
31|25|3|11
31|26|45|11
31|27|58|11
31|28|36|11
31|29|79|11
31|30|82|11
31|31|47|11
31|32|35|11
31|33|57|11
31|34|18|11
31|35|24|11
31|36|34|11
31|37|51|11
31|38|6|11
31|39|21|11
31|40|76|11
31|41|41|11
31|42|2|11
31|43|25|11
32|1|50|0
32|2|41|0
32|3|13|0
32|4|85|0
32|5|12|0
32|6|34|0
32|7|28|0
32|8|53|0
32|9|54|0
32|10|70|0
32|11|55|0
32|12|33|0
32|13|4|0
32|14|51|0
32|15|77|0
32|16|86|0
32|17|69|0
32|18|18|0
32|19|14|0
32|20|65|0
32|21|63|0
32|22|39|0
32|23|44|0
32|24|35|0
32|25|80|0
32|26|57|0
32|27|36|0
32|28|79|0
32|29|84|0
32|30|40|0
32|31|58|0
32|32|64|0
32|33|2|0
32|34|6|0
32|35|3|0
32|36|46|0
32|37|16|0
32|38|9|0
32|39|8|0
32|40|47|0
32|41|82|0
32|42|45|0
32|43|43|0
33|1|44|18
33|2|53|18
33|3|50|18
33|4|33|18
33|5|34|18
33|6|57|18
33|7|4|18
33|8|54|18
33|9|63|18
33|10|35|18
33|11|65|18
33|12|13|18
33|13|46|18
33|14|85|18
33|15|28|18
33|16|18|18
33|17|14|18
33|18|43|18
33|19|55|18
33|20|64|18
33|21|36|18
33|22|45|18
33|23|70|18
33|24|77|18
33|25|22|18
33|26|47|18
33|27|69|18
33|28|41|18
33|29|9|18
33|30|51|18
33|31|40|18
33|32|80|18
33|33|23|18
33|34|12|18
33|35|27|18
33|36|6|18
33|37|39|18
33|38|3|18
33|39|2|18
33|40|86|18
33|41|24|18
33|42|82|18
33|43|58|18
34|1|54|15
34|2|69|15
34|3|34|15
34|4|53|15
34|5|12|15
34|6|50|15
34|7|14|15
34|8|85|15
34|9|13|15
34|10|18|15
34|11|46|15
34|12|33|15
34|13|64|15
34|14|43|15
34|15|39|15
34|16|44|15
34|17|47|15
34|18|70|15
34|19|86|15
34|20|55|15
34|21|77|15
34|22|82|15
34|23|40|15
34|24|57|15
34|25|36|15
34|26|80|15
34|27|65|15
34|28|58|15
34|29|3|15
34|30|2|15
34|31|30|15
34|32|51|15
34|33|41|15
34|34|63|15
34|35|35|15
34|36|68|15
34|37|45|15
34|38|16|15
34|39|4|15
34|40|28|15
34|41|11|15
34|42|72|15
34|43|84|15
35|1|50|12
35|2|41|12
35|3|33|12
35|4|53|12
35|5|34|12
35|6|70|12
35|7|2|12
35|8|39|12
35|9|18|12
35|10|3|12
35|11|58|12
35|12|86|12
35|13|44|12
35|14|69|12
35|15|13|12
35|16|79|12
35|17|77|12
35|18|85|12
35|19|64|12
35|20|47|12
35|21|12|12
35|22|28|12
35|23|46|12
35|24|63|12
35|25|22|12
35|26|65|12
35|27|45|12
35|28|80|12
35|29|4|12
35|30|27|12
35|31|51|12
35|32|21|12
35|33|36|12
35|34|16|12
35|35|30|12
35|36|57|12
35|37|9|12
35|38|35|12
35|39|43|12
35|40|54|12
35|41|55|12
35|42|40|12
35|43|14|12

                driver 
 0      AndyHillenburg
 1       AustinCameron
 2         BillElliott
 3       BobbyHamilton
 4        BobbyLabonte
 5           BorisSaid
 6         BrettBodine
 7       BuckshotJones
 8            CarlLong
 9         CaseyAtwood
10          ChadLittle
11 ChristianFittipaldi
12    DaleEarnhardtJr.
13         DaleJarrett
14          DaveBlaney
15          DaveMarcis
16         DerrikeCope
17         DickTrickle
18       ElliottSadler
19         FrankKimmel
20       GaryBradberry
21      GeoffreyBodine
22          GregBiffle
23        HankParkerJr
24        HermieSadler
25       HideoFukuyama
26        HutStricklin
27         JackSprague
28       JamieMcMurray
29       JasonHedlesky
30        JasonLeffler
31          JasonSmall
32           JaySauter
33          JeffBurton
34          JeffGordon
35           JeffGreen
36      JeremyMayfield
37         JerryNadeau
38      JimInglebright
39       JimmieJohnson
40        JimmySpencer
41         JoeNemechek
42            JoeVarde
43        JohnAndretti
44        JohnnyBenson
45         KenSchrader
46        KennyWallace
47        KevinHarvick
48         KevinLepage
49     KirkShelmerdine
50           KurtBusch
51           KylePetty
52         LanceHooper
53          MarkMartin
54         MattKenseth
55      MichaelWaltrip
56           MikeBliss
57         MikeSkinner
58         MikeWallace
59      MorganShepherd
60             PJJones
61        RandyRenfrow
62            RickMast
63         RickyCraven
64           RickyRudd
65         RobbyGordon
66      RobertPressley
67          RonFellows
68         RonHornaday
69        RustyWallace
70          RyanNewman
71         ScottPruett
72         ScottWimmer
73      ShawnaRobinson
74        StacyCompton
75      SterlingMarlin
76        SteveGrissom
77           StevePark
78         StuartKirby
79         TedMusgrave
80        TerryLabonte
81           TimSauter
82          ToddBodine
83           TomHubert
84          TonyRaines
85         TonyStewart
86          WardBurton

            track 
 0        Atlanta
 1        Bristol
 2     California
 3      Charlotte
 4        Chicago
 5     Darlington
 6        Daytona
 7          Dover
 8 IndianapolisMS
 9         Kansas
10       LasVegas
11   Martinsville
12          Miami
13       Michigan
14   NewHampshire
15        Phoenix
16         Pocono
17       Richmond
18     Rockingham
19     SearsPoint
20      Talladega
21          Texas
22    WatkinsGlen
